suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,hnd_mean,lnd_mean,first_5pct_mean,residual_energy_pct_at_stop,dead_nodes_pct_at_stop,packets_received_mean,alive_nodes_mean,censored_runs,elapsed_sec
packet_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.41
packet_sweep_100m_v2,100,100,8000,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,336,198.731,56,497,,,,70.8,1.0,1809,99,0,0.63
packet_sweep_100m_v2,100,200,8000,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,144.3333,135.7064,40,336,,,,87.44,0.5,1416.3333,199,0,0.69
packet_sweep_100m_v2,100,300,8000,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,51.3333,16.7398,39,75,,,,95.52,0.44,622,298.6667,0,0.36
packet_sweep_100m_v2,100,500,8000,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,35,0.8165,34,36,,,,96.94,0.2,715.3333,499,0,0.38
pso_coeff_sweep_100m_v2,100,100,6400,0.5,0.5,2.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,589,15.5563,578,611,,,,59.04,1.0,3222.3333,99,0,0.62
pso_coeff_sweep_100m_v2,100,200,6400,0.5,0.5,2.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,325,201.6747,40,477,,,,77.31,0.5,3388,199,0,0.76
pso_coeff_sweep_100m_v2,100,300,6400,0.5,0.5,2.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,51.3333,8.7305,39,58,,,,96.42,0.33,639,299,0,0.36
pso_coeff_sweep_100m_v2,100,500,6400,0.5,0.5,2.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,43.6667,8.0554,37,55,,,,96.95,0.2,827.3333,499,0,0.4
pso_coeff_sweep_100m_v2,100,100,6400,0.5,1.0,2.0,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,470,141.6545,277,613,,,,67.32,1.0,2564,99,0,0.6
pso_coeff_sweep_100m_v2,100,200,6400,0.5,1.0,2.0,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,298.3333,187.087,40,477,,,,79.21,0.5,3075.3333,199,0,0.74
pso_coeff_sweep_100m_v2,100,300,6400,0.5,1.0,2.0,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,239.3333,142.549,39,359,,,,83.28,0.33,3289.3333,299,0,0.73
pso_coeff_sweep_100m_v2,100,500,6400,0.5,1.0,2.0,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,51.6667,8.2597,40,58,,,,96.39,0.2,996,499,0,0.4
pso_coeff_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.58
pso_coeff_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.71
pso_coeff_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.39
pso_coeff_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.38
pso_coeff_sweep_100m_v2,100,100,6400,0.5,2.0,1.0,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,469,77.1535,397,576,,,,67.31,1.0,2419.6667,99,0,0.56
pso_coeff_sweep_100m_v2,100,200,6400,0.5,2.0,1.0,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,264,161.4703,37,399,,,,81.57,0.5,2709,199,0,0.65
